sku,image,small_image,thumbnail,gallery
QCNBA000001,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,/Lenovo.jpg
QCNBA000002,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,/Lenovo.jpg
QCNBA000003,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000004,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000005,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000006,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000007,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,/Compaq.jpg
QCNBA000008,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,/Lenovo.jpg
QCNBA000009,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,/Lenovo.jpg
QCNBA000010,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,/Lenovo.jpg
QCNBA000011,+/Toshiba.jpg,+/Toshiba.jpg,+/Toshiba.jpg,/Toshiba.jpg
QCNBA000012,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,/Lenovo.jpg
QCNBA000013,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,/Lenovo.jpg
QCNBA000014,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,/Sony.jpg
QCNBA000015,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,/Lenovo.jpg
QCNBA000016,+/Acer.jpg,+/Acer.jpg,+/Acer.jpg,/Acer.jpg
QCNBA000017,+/Acer.jpg,+/Acer.jpg,+/Acer.jpg,/Acer.jpg
QCNBA000018,+/Toshiba.jpg,+/Toshiba.jpg,+/Toshiba.jpg,/Toshiba.jpg
QCNBA000019,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000020,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,/Sony.jpg
QCNBA000021,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000022,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,/Sony.jpg
QCNBA000023,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000024,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000025,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,/Lenovo.jpg
QCNBA000026,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000027,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,/Sony.jpg
QCNBA000028,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000029,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,/Sony.jpg
QCNBA000030,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000031,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000032,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000033,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000034,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,/Sony.jpg
QCNBA000035,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,/Sony.jpg
QCNBA000036,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000037,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000038,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000039,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000040,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000041,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000042,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000043,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000044,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000045,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000046,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000047,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,/Sony.jpg
QCNBA000048,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000049,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000050,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000051,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000052,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000053,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000054,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,/Sony.jpg
QCNBA000055,+/Acer.jpg,+/Acer.jpg,+/Acer.jpg,/Acer.jpg
QCNBA000056,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000057,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
QCNBA000058,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000059,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000060,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000061,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,/Sony.jpg
QCNBA000062,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,/Dell.jpg
QCNBA000063,+/HP.jpg,+/HP.jpg,+/HP.jpg,/HP.jpg
