sku,status
QCNBB001883,1
QCNBB001894,1
QCNBB000740,1
QCNBB001882,1
SYGNBQB0427,1
QCNBB000555,1
QCNBB000322,1
QCNBB000816,1
QCNBB001885,1
QCNBB001895,1
QCNBB001906,1
QCNBB001884,1
QCNBB001893,1
QCNBB001898,1
QCNBB001897,1
QCNBB001887,1
QCNBB001879,1
QCNBB000665,1
QCNBB001881,1
QCNBB001891,1
QCNBB001902,1
QCNBB001904,1
SYGNBQB0324,1
QCNBB001892,1
QCNBB001880,1
QCNBB001888,1
QCNBB001889,1
QCNBB001890,1
QCNBB001896,1
QCNBB001899,1
QCNBB001903,1
QCNBB001907,1
QCNBB000661,1
QCNBB001886,1
QCNBB001900,1
