sku,name,product_name
OPMBNTFB0887,TARA T103 PLUS (BLACK) (B Grade),TARA T103 PLUS (BLACK) (B Grade)
OPMBNTFB0888,ZENFONE 2 LASER (RED 16GB) (B Grade),ZENFONE 2 LASER (RED 16GB) (B Grade)
OPMBNTFB0889,APPLE I PHONE 6 PLUS (GOLD 64GB) (B Grade),APPLE I PHONE 6 PLUS (GOLD 64GB) (B Grade)
OPMBNTFB0890,APPLE I PHONE 6 (GOLD 32GB) (B Grade),APPLE I PHONE 6 (GOLD 32GB) (B Grade)
OPMBNTFB0891,LENOVO A 1000 (BLACK 4GB) (B Grade),LENOVO A 1000 (BLACK 4GB) (B Grade)
OPMBNTFB0892,INFOCUS BINGO (BLACK 8GB) (B Grade),INFOCUS BINGO (BLACK 8GB) (B Grade)
OPMBNTFB0893,SAMSUNG GALAXY S7 EDGE (SILVER TITANIUM 32GB) (B Grade),SAMSUNG GALAXY S7 EDGE (SILVER TITANIUM 32GB) (B Grade)
OPMBNTFB0894,APPLE I PHONE 6 (SILVER 64GB) (B Grade),APPLE I PHONE 6 (SILVER 64GB) (B Grade)
OPMBNTFB0895,REDMI 4  (GOLD 64GB) (B Grade),REDMI 4  (GOLD 64GB) (B Grade)
OPMBNTFB0896,VOWÿV104 (BLACK+BLUE) (B Grade),VOWÿV104 (BLACK+BLUE) (B Grade)
OPMBNTFB0897,VOW V105 (BLACK+BLUE) (B Grade),VOW V105 (BLACK+BLUE) (B Grade)
OPMBNTFB0898,ADCOM CINEMA X28 (GOLD) (B Grade),ADCOM CINEMA X28 (GOLD) (B Grade)
OPMBNTFB0899,ASUS PADFONE MINI (WHITE 8GB) (B Grade),ASUS PADFONE MINI (WHITE 8GB) (B Grade)
