sku,is_in_stock
QCNBB002115,1
QCNBB002168,1
QCNBB002169,1
QCNBB002177,1
QCNBB002208,1
QCNBB002248,1
QCNBB002249,1
QCNBB002302,1
QCNBAG00674,1
QCNBB000437,1
QCNBB000678,1
QCNBB002133,1
QCNBB002167,1
QCNBB002250,1
QCNBB002251,1
QCNBB002253,1
QCNBB002254,1
QCNBB002255,1
QCNBB002256,1
QCNBB002257,1
QCNBB002258,1
QCNBB002268,1
QCNBB002272,1
QCNBB002306,1
QCNBAG00669,1
QCNBB002049,1
QCNBAG00552,1
QCNBB002152,1
QCNBB002153,1
QCNBB002154,1
QCNBB002156,1
QCNBB002157,1
QCNBB002165,1
QCNBB002171,1
QCNBB002247,1
QCNBAG00645,1
