sku,product_category_type
QCNBB002313,QCNBK-B
QCNBBG00001,QCNBK-B
QCNBBG00013,QCNBK-B
QCNBBG00015,QCNBK-B
QCNBBG00016,QCNBK-B
QCNBBG00019,QCNBK-B
QCNBBG00020,QCNBK-B
QCNBBG00021,QCNBK-B
QCNBBG00028,QCNBK-B
QCNBBG00029,QCNBK-B
QCNBBG00030,QCNBK-B
QCNBBG00035,QCNBK-B
QCNBBG00037,QCNBK-B
QCNBBG00041,QCNBK-B
QCNBBG00043,QCNBK-B
QCNBBG00058,QCNBK-B
QCNBBG00064,QCNBK-B
QCNBBG00066,QCNBK-B
QCNBBG00068,QCNBK-B
QCNBBG00071,QCNBK-B
QCNBBG00075,QCNBK-B
QCNBBG00076,QCNBK-B
QCNBBG00078,QCNBK-B
QCNBBG00079,QCNBK-B
QCNBBG00080,QCNBK-B
QCNBBG00081,QCNBK-B
QCNBBG00082,QCNBK-B
QCNBBG00083,QCNBK-B
QCNBBG00086,QCNBK-B
QCNBBG00089,QCNBK-B
