sku,qty,status,is_in_stock
OPNBNTF0143,2,Enabled,1
OPNBNTF0161,2,Enabled,1
OPNBNTF0028,2,Enabled,1
OPNBNTF0025,2,Enabled,1
OPNBNTFB002,2,Enabled,1
OPNBNTF0179,1,Enabled,1
OPNBNTF0130,1,Enabled,1
OPNBNTF0147,1,Enabled,1
OPNBNTF0163,1,Enabled,1
OPNBNTF0126,1,Enabled,1
OPNBNTF0157,1,Enabled,1
OPNBNTF0059,1,Enabled,1
OPNBNTF0047,1,Enabled,1
OPNBNTF0036,1,Enabled,1
OPNBNTF0027,1,Enabled,1
OPNBNTF0031,1,Enabled,1
OPNBNTF0302,1,Enabled,1
OPNBNTF0058,1,Enabled,1
OPNBNTF0305,1,Enabled,1
OPNBNTF0040,1,Enabled,1
OPNBNTF0097,1,Enabled,1
OPNBNTF0101,1,Enabled,1
OPNBNTF0136,1,Enabled,1
OPNBNTF0201,1,Enabled,1
OPNBNTF0224,1,Enabled,1
OPNBNTF0308,1,Enabled,1
OPNBNTF0044,1,Enabled,1
OPNBNTF0131,1,Enabled,1
OPNBNTF0319,1,Enabled,1
OPNBNTF0320,1,Enabled,1
OPNBNTF0235,1,Enabled,1
OPNBNTF0236,1,Enabled,1
OPNBNTF0140,1,Enabled,1
