sku,qty,status,disable_cod,visibility
REFDE00390,0,Disabled,No,"Catalog, Search"
REFDE00362,0,Disabled,No,"Catalog, Search"
REFDE00361,0,Disabled,No,"Catalog, Search"
REFDE00359,0,Disabled,No,"Catalog, Search"
REFDE00355,0,Disabled,No,"Catalog, Search"
REFDE00320,0,Disabled,No,"Catalog, Search"
REFDE00312,0,Disabled,No,"Catalog, Search"
REFDE00268,0,Disabled,No,"Catalog, Search"
REFDE00248,0,Disabled,No,"Catalog, Search"
REFDE00246,0,Disabled,No,"Catalog, Search"
REFDE00237,0,Disabled,No,"Catalog, Search"
REFDE00232,0,Disabled,No,"Catalog, Search"
REFDE00229,0,Disabled,No,"Catalog, Search"
REFDE00225,0,Disabled,No,"Catalog, Search"
REFDE00221,0,Disabled,No,"Catalog, Search"
REFDE00217,0,Disabled,No,"Catalog, Search"
REFDE00216,0,Disabled,No,"Catalog, Search"
REFDE00213,0,Disabled,No,"Catalog, Search"
REFDE00212,0,Disabled,No,"Catalog, Search"
REFDE00210,0,Disabled,No,"Catalog, Search"
REFDE00204,0,Disabled,No,"Catalog, Search"
REFDE00196,0,Disabled,No,"Catalog, Search"
REFDE00194,0,Disabled,No,"Catalog, Search"
REFDE00193,0,Disabled,No,"Catalog, Search"
REFDE00161,0,Disabled,No,"Catalog, Search"
REFDE00155,0,Disabled,No,"Catalog, Search"
REFDE00148,0,Disabled,No,"Catalog, Search"
REFDE00147,0,Disabled,No,"Catalog, Search"
REFDE00108,0,Disabled,No,"Catalog, Search"
REFDE00106,0,Disabled,No,"Catalog, Search"
REFDE00086,0,Disabled,No,"Catalog, Search"
REFDE00052,0,Disabled,No,"Catalog, Search"
REFDE00027,0,Disabled,No,"Catalog, Search"
REFDE00021,0,Disabled,No,"Catalog, Search"
REFDE00008,0,Disabled,No,"Catalog, Search"
REFDE00006,0,Disabled,No,"Catalog, Search"
QCNBB002302,0,Disabled,No,"Catalog, Search"
QCNBAG00566,0,Disabled,No,"Catalog, Search"
QCNBAG00520,0,Disabled,No,"Catalog, Search"
QCNBA000295,0,Disabled,No,"Catalog, Search"
