sku,status,qty,is_in_stock
REFDE00108,Enabled,10,1
REFDE00110,Enabled,8,1
REFDE00308,Enabled,8,1
REFDE00161,Enabled,7,1
REFDE00109,Enabled,7,1
REFDE00117,Enabled,6,1
REFDE00111,Enabled,5,1
REFDE00196,Enabled,4,1
REFDE00121,Enabled,4,1
REFDE00007,Enabled,4,1
REFDE00193,Enabled,4,1
REFDE00091,Enabled,3,1
REFDE00238,Enabled,3,1
REFDE00019,Enabled,3,1
REFDE00228,Enabled,3,1
REFDE00034,Enabled,3,1
REFDE00012,Enabled,3,1
REFDE00262,Enabled,3,1
REFDE00194,Enabled,3,1
REFDE00310,Enabled,3,1
REFDE00098,Enabled,3,1
REFDE00126,Enabled,3,1
REFDE00157,Enabled,2,1
REFDE00015,Enabled,2,1
REFDE00200,Enabled,2,1
REFDE00008,Enabled,2,1
REFDE00113,Enabled,3,1
REFDE00232,Enabled,2,1
REFDE00100,Enabled,2,1
REFDE00041,Enabled,2,1
REFDE00277,Enabled,2,1
REFDE00145,Enabled,2,1
REFDE00202,Enabled,2,1
REFDE00120,Enabled,2,1
REFDE00335,Enabled,2,1
REFDE00312,Enabled,2,1
REFDE00027,Enabled,1,1
REFDE00313,Enabled,1,1
REFDE00205,Enabled,1,1
REFDE00206,Enabled,1,1
REFDE00323,Enabled,1,1
REFDE00090,Enabled,1,1
REFDE00221,Enabled,1,1
REFDE00198,Enabled,1,1
REFDE00210,Enabled,1,1
REFDE00320,Enabled,1,1
REFDE00237,Enabled,1,1
REFDE00246,Enabled,1,1
REFDE00254,Enabled,1,1
REFDE00207,Enabled,1,1
REFDE00146,Enabled,1,1
REFDE00006,Enabled,1,1
REFDE00217,Enabled,1,1
REFDE00216,Enabled,1,1
REFDE00052,Enabled,1,1
REFDE00197,Enabled,1,1
REFDE00340,Enabled,1,1
REFDE00114,Enabled,1,1
REFDE00159,Enabled,1,1
REFDE00302,Enabled,2,1
REFDE00225,Enabled,1,1
REFDE00021,Enabled,1,1
REFDE00148,Enabled,1,1
REFDE00289,Enabled,1,1
REFDE00137,Enabled,1,1
REFDE00390,Enabled,1,1
REFDE00155,Enabled,1,1
REFDE00381,Enabled,1,1
REFDE00106,Enabled,1,1
REFDE00201,Enabled,1,1
REFDE00147,Enabled,1,1
REFDE00268,Enabled,1,1
REFDE00248,Enabled,1,1
REFDE00263,Enabled,1,1
REFDE00213,Enabled,1,1
REFDE00229,Enabled,1,1
REFDE00086,Enabled,1,1
REFDE00355,Enabled,1,1
REFDE00212,Enabled,1,1
REFDE00204,Enabled,1,1
REFDE00026,Enabled,1,1
REFDE00353,Enabled,1,1
